Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
5575;17109;"Linacre quarterly, The";journal;"20508549, 00243639";0,212;Q4;15;68;159;1615;70;106;0,38;23,75;39,44;0;25;United Kingdom;Western Europe;"SAGE Publications Inc.";"1945, 1947, 1950-1953, 1973-2006, 2008-2023";"Philosophy (Q2); Health Policy (Q4)";"Arts and Humanities; Medicine"
5576;19900191752;"Motricidade";journal;"21822972, 1646107X";0,212;Q4;15;50;177;1736;97;170;0,53;34,72;30,60;0;10;Portugal;Western Europe;"University of Tras-os-Montes and Alto Douro";"2011-2023";"Physical Therapy, Sports Therapy and Rehabilitation (Q3); Orthopedics and Sports Medicine (Q4)";"Health Professions; Medicine"
5577;21100920037;"Problemy Osobo Opasnykh Infektsii";journal;"2658719X, 03701069";0,212;Q4;9;60;191;1401;149;191;0,49;23,35;62,62;0;36;Russian Federation;Eastern Europe;"Russian Research Anti-Plague Institute";"2019-2023";"Epidemiology (Q4); Immunology (Q4); Infectious Diseases (Q4); Microbiology (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
5578;21100235628;"Hearing, Balance and Communication";journal;"21695725, 21695717";0,211;Q3;15;46;135;1490;69;127;0,40;32,39;53,89;0;9;United Kingdom;Western Europe;"Informa Healthcare";"2013-2023";"Otorhinolaryngology (Q3); Speech and Hearing (Q3)";"Health Professions; Medicine"
5579;16090;"History of Psychiatry";journal;"0957154X, 17402360";0,211;Q4;30;35;106;1636;47;102;0,43;46,74;21,21;0;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"1990-2023";"Psychiatry and Mental Health (Q4)";"Medicine"
5580;21100259127;"Journal of Nutrition and Health";journal;"22883959, 22883886";0,211;Q4;16;49;158;1855;115;156;0,68;37,86;70,40;0;21;South Korea;Asiatic Region;"The Korean Nutrition Society";"2013-2023";"Medicine (miscellaneous) (Q4); Nutrition and Dietetics (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Nursing"
5581;21100861875;"Microbiology Australia";journal;"13244272, 22019189";0,211;Q4;10;59;151;1074;101;123;0,49;18,20;46,34;0;22;Australia;Pacific Region;"CSIRO";"2018-2023";"Applied Microbiology and Biotechnology (Q4); Microbiology (Q4); Microbiology (medical) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Immunology and Microbiology; Medicine"
5582;21100932743;"Pharmaceutical Technology in Hospital Pharmacy";journal;"2365242X, 23652411";0,211;Q3;1;0;2;0;4;2;0,00;0,00;0,00;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2019-2023";"Pharmacy (Q2); Pharmacology (medical) (Q3); Pharmacology (Q4)";"Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics"
5583;26681;"Problemy Endokrinologii";journal;"03759660";0,211;Q4;11;77;210;2372;191;208;0,97;30,81;70,37;0;37;Russian Federation;Eastern Europe;"Meditsina Publishers";"1967-1995, 2016-2023";"Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5584;20889;"Voprosy Virusologii";journal;"24112097, 05074088";0,211;Q4;19;54;132;1724;130;132;0,94;31,93;57,57;0;37;Russian Federation;Eastern Europe;"Central Research Institute for Epidemiology";"1956-2023";"Infectious Diseases (Q4); Medicine (miscellaneous) (Q4); Virology (Q4)";"Immunology and Microbiology; Medicine"
5585;25421;"Acta Haematologica Polonica";journal;"23007117, 00015814";0,210;Q4;13;53;178;1339;98;159;0,58;25,26;62,88;0;27;Poland;Eastern Europe;"Via Medica";"1971-2023";"Hematology (Q4); Oncology (Q4)";"Medicine"
5586;21101052352;"Annals of Eye Science";journal;"25204122";0,210;Q3;9;20;70;890;47;65;0,67;44,50;42,65;0;3;Hong Kong;Asiatic Region;"AME Publishing Company";"2016-2019, 2021-2023";"Ophthalmology (Q3)";"Medicine"
5587;21101041816;"Canadian Prosthetics and Orthotics Journal";journal;"2561987X";0,210;Q3;5;16;56;373;37;55;0,62;23,31;32,43;0;4;Canada;Northern America;"Canadian Online Publication Group";"2018-2022";"Rehabilitation (Q3)";"Medicine"
5588;21100395916;"Case Reports in Nephrology and Dialysis";journal;"22969705";0,210;Q3;12;27;115;416;73;115;0,67;15,41;39,72;0;10;Switzerland;Western Europe;"S. Karger AG";"2015-2023";"Nephrology (Q3)";"Medicine"
5589;11100153305;"Journal of Men's Health";journal;"18756867, 18756859";0,210;Q3;36;136;341;5269;229;332;0,69;38,74;34,67;0;60;Singapore;Asiatic Region;"MRE Press";"2008-2023";"Urology (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
5590;21101052759;"Laparoscopic Surgery";journal;"26164221";0,210;Q3;4;16;137;486;41;112;0,42;30,38;28,13;0;5;China;Asiatic Region;"AME Publishing Company";"2019-2023";"Surgery (Q3); Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
5591;28650;"Zeitschrift fur Geburtshilfe und Neonatologie";journal;"14391651, 09482393";0,210;Q3;21;122;351;1879;122;208;0,35;15,40;50,76;0;38;Germany;Western Europe;"Georg Thieme Verlag";"1995-2023";"Maternity and Midwifery (Q3); Obstetrics and Gynecology (Q3); Pediatrics, Perinatology and Child Health (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
5592;5600155041;"Zeitschrift fur Sexualforschung";journal;"09328114";0,210;Q3;14;33;91;840;30;84;0,38;25,45;63,83;0;16;Germany;Western Europe;"Georg Thieme Verlag";"2008-2023";"Reproductive Medicine (Q3); Psychology (miscellaneous) (Q4)";"Medicine; Psychology"
5593;21100802779;"Clinical Diabetology";journal;"24508187, 24507458";0,209;Q3;9;56;209;1433;99;193;0,57;25,59;48,74;0;52;Poland;Eastern Europe;"Via Medica";"2015-2023";"Internal Medicine (Q3); Endocrinology, Diabetes and Metabolism (Q4)";"Medicine"
5594;19900191881;"Ethiopian Journal of Health Development";journal;"10216790";0,209;Q4;28;29;164;939;72;159;0,40;32,38;36,11;0;19;Ethiopia;Africa;"Ethiopian Public Health Association";"2010-2023";"Infectious Diseases (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
5595;21100788963;"International Journal of High Risk Behaviors and Addiction";journal;"2251872X, 22518711";0,209;Q4;18;27;92;796;48;89;0,41;29,48;50,00;0;16;Netherlands;Western Europe;"Brieflands";"2015-2023";"Clinical Psychology (Q4); Medicine (miscellaneous) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
5596;21101034427;"Iranian Journal of Medical Microbiology";journal;"23454342, 17358612";0,209;Q4;7;74;169;2574;160;167;0,85;34,78;43,66;0;36;Iran;Middle East;"Farname Inc.";"2019-2023";"Infectious Diseases (Q4); Microbiology (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
5597;144606;"Journal of Central South University (Medical Sciences)";journal;"16727347";0,209;Q4;20;197;641;7346;403;641;0,67;37,29;49,94;0;87;China;Asiatic Region;"Journal of Central South University. Medical sciences";"2004-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5598;21101032108;"Journal of Environmental Health and Sustainable Development";journal;"24767433, 24766267";0,209;Q4;10;31;94;999;90;94;1,00;32,23;39,08;0;24;Iran;Middle East;"Shahid Sadoughi University of Medical Sciences";"2016-2023";"Engineering (miscellaneous) (Q3); Environmental Engineering (Q4); Health, Toxicology and Mutagenesis (Q4); Public Health, Environmental and Occupational Health (Q4); Waste Management and Disposal (Q4)";"Engineering; Environmental Science; Medicine"
5599;80593;"Journal of Medicinal Plants";journal;"27172058, 2717204X";0,209;Q3;27;22;162;1080;158;161;1,23;49,09;40,23;0;9;Iran;Middle East;"Institute of Medicinal Plants";"2004-2023";"Complementary and Alternative Medicine (Q3); Pharmacology (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
5600;21100871186;"Medicina Historica";journal;"25322370";0,209;Q4;9;51;104;1540;55;95;0,57;30,20;50,59;0;17;Italy;Western Europe;"Mattioli 1885";"2017-2023";"History (Q1); History and Philosophy of Science (Q3); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Medicine"
5601;19300156929;"Pesquisa Brasileira em Odontopediatria e Clinica Integrada";journal;"19834632, 15190501";0,209;Q3;15;88;409;2767;236;403;0,39;31,44;60,71;0;10;Brazil;Latin America;"Association of Support to Oral Health Research (APESB)";"2009-2023";"Dentistry (miscellaneous) (Q3); Oral Surgery (Q3); Orthodontics (Q3); Pediatrics, Perinatology and Child Health (Q3)";"Dentistry; Medicine"
5602;22528;"Przeglad Epidemiologiczny";journal;"00332100";0,209;Q4;23;23;166;0;86;163;0,52;0,00;62,00;0;15;Poland;Eastern Europe;"Panstwowy Zaklad Higieny/National Institute of Hygiene";"1953-2022";"Medicine (miscellaneous) (Q4)";"Medicine"
5603;21100925779;"Academic Forensic Pathology";journal;"19253621";0,208;Q4;18;15;60;307;23;54;0,34;20,47;47,50;0;9;United States;Northern America;"SAGE Publications Inc.";"2011-2023";"Pathology and Forensic Medicine (Q4)";"Medicine"
5604;19122;"Acta Reumatologica Portuguesa";journal;"0303464X";0,208;Q4;29;0;112;0;74;92;0,56;0,00;0,00;0;0;Portugal;Western Europe;"Sociedade Portuguesa de Reumatologia";"1973-1975, 1978-1979, 1983-1986, 1994-1996, 2006-2021";"Medicine (miscellaneous) (Q4); Rheumatology (Q4)";"Medicine"
5605;19600156852;"Journal of Cardiology Cases";journal;"18785409";0,208;Q4;13;146;531;1243;277;518;0,55;8,51;17,35;2;48;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2023";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
5606;29722;"Journal of Medical Biography";journal;"17581087, 09677720";0,208;Q4;16;82;155;2249;51;136;0,30;27,43;31,03;0;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1977, 1988, 1993-2023";"History and Philosophy of Science (Q3); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Medicine"
5607;21101168850;"Journal of Minimally Invasive Spine Surgery and Technique";journal;"25082043";0,208;Q3;4;43;94;1299;53;89;0,64;30,21;11,94;0;4;South Korea;Asiatic Region;"Korean Minimally Invasive Spine Surgery Society";"2019-2023";"Surgery (Q3); Medicine (miscellaneous) (Q4); Neurology (clinical) (Q4); Orthopedics and Sports Medicine (Q4)";"Medicine"
5608;21100203935;"Revista Espanola de Medicina Nuclear e Imagen Molecular";journal;"22538070, 2253654X";0,208;Q4;24;99;285;1584;164;254;0,49;16,00;49,62;0;49;Spain;Western Europe;"Ediciones Doyma, S.L.";"2012-2023";"Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
5609;21101146394;"Digital Diagnostics";journal;"27128490, 27128962";0,207;Q3;6;40;114;1082;79;75;0,42;27,05;53,26;0;20;Russian Federation;Eastern Europe;"Eco-Vector LLC";"2020-2023";"Internal Medicine (Q3); Radiological and Ultrasound Technology (Q3); Health Informatics (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Health Professions; Medicine"
5610;21101022219;"Disaster and Emergency Medicine Journal";journal;"25435957, 24514691";0,207;Q3;9;40;115;986;152;86;1,23;24,65;34,97;0;23;Poland;Eastern Europe;"Via Medica";"2019-2023";"Emergency Medical Services (Q2); Critical Care and Intensive Care Medicine (Q3); Emergency Medicine (Q3)";"Health Professions; Medicine"
5611;19072;"Revue des Maladies Respiratoires";journal;"17762588, 07618425";0,207;Q4;34;98;386;4683;175;305;0,44;47,79;39,87;0;48;France;Western Europe;"Elsevier Masson s.r.l.";"1984-2023";"Pulmonary and Respiratory Medicine (Q4)";"Medicine"
5612;19283;"Turkish Journal of Surgery";journal;"25647032, 25646850";0,207;Q3;18;59;190;1244;113;174;0,40;21,08;20,26;0;27;Turkey;Middle East;"";"1994-2023";"Surgery (Q3)";"Medicine"
5613;14385;"Vestnik Otorinolaringologii";journal;"00424668, 23091274";0,207;Q3;12;97;341;2457;175;340;0,48;25,33;67,53;0;17;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1945-1946, 1948, 1950-2023";"Otorhinolaryngology (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
5614;24766;"Addictive Disorders and their Treatment";journal;"15315754";0,206;Q4;23;0;114;0;74;101;0,74;0,00;0,00;0;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2002-2021";"Medicine (miscellaneous) (Q4); Psychiatry and Mental Health (Q4)";"Medicine"
5615;27718;"Archiwum Medycyny Sadowej i Kryminologii";journal;"16891716, 03248267";0,206;Q4;9;13;20;0;9;16;0,00;0,00;47,37;0;5;Poland;Eastern Europe;"Termedia Wydawnictwo Medyczne";"1974-1983, 2002-2020";"Medicine (miscellaneous) (Q4)";"Medicine"
5616;19700173237;"Clinical Medicine Insights: Case Reports";journal;"11795476";0,206;Q4;15;74;140;1603;103;140;0,69;21,66;42,11;0;34;New Zealand;Pacific Region;"Libertas Academica Ltd.";"2008-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5617;21101040674;"Current Nanomedicine";journal;"24681881, 24681873";0,206;Q4;8;17;55;1477;58;54;0,80;86,88;40,32;0;5;United Arab Emirates;Middle East;"Bentham Science Publishers";"2018-2023";"Bioengineering (Q4); Biomedical Engineering (Q4); Medicine (miscellaneous) (Q4)";"Chemical Engineering; Engineering; Medicine"
5618;21101047121;"Delaware Journal of Public Health";journal;"26396378";0,206;Q4;5;74;278;1103;93;140;0,41;14,91;52,58;0;38;United States;Northern America;"Delaware Academy of Medicine";"2019-2023";"Health Policy (Q4); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Social Sciences"
5619;13220;"European Journal of Health Law";journal;"09290273, 15718093";0,206;Q4;24;18;118;599;56;113;0,51;33,28;60,00;0;8;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1994-2023";"Law (Q3); Health Policy (Q4)";"Medicine; Social Sciences"
5620;23253;"Herzschrittmachertherapie und Elektrophysiologie";journal;"14351544, 09387412";0,206;Q4;17;65;235;1096;116;195;0,49;16,86;25,95;0;12;Germany;Western Europe;"D. Steinkopff-Verlag";"1998-2023";"Cardiology and Cardiovascular Medicine (Q4); Medicine (miscellaneous) (Q4); Physiology (medical) (Q4)";"Medicine"
5621;7700153112;"Index de Enfermeria";journal;"11321296";0,206;Q4;14;57;208;1382;104;170;0,40;24,25;64,08;0;8;Spain;Western Europe;"Fundacion Index";"2006-2023";"History and Philosophy of Science (Q3); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Arts and Humanities; Medicine; Social Sciences"
5622;21100843245;"Indonesian Biomedical Journal";journal;"23559179, 20853297";0,206;Q4;9;60;156;2708;128;156;0,71;45,13;47,86;0;38;Indonesia;Asiatic Region;"Prodia Education and Research Institute";"2017-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5623;21101043315;"Journal of Perinatal Education";journal;"15488519, 10581243";0,206;Q3;4;16;49;467;26;41;0,53;29,19;80,00;0;7;United States;Northern America;"Springer Publishing Company";"2015-2019, 2021-2023";"Maternity and Midwifery (Q3); Obstetrics and Gynecology (Q3); Pediatrics, Perinatology and Child Health (Q3); Pediatrics (Q4)";"Medicine; Nursing"
5624;21100256950;"Movement and Sports Sciences - Science et Motricite";journal;"21185735, 21185743";0,206;Q4;16;27;80;1500;47;75;0,36;55,56;33,33;0;2;France;Western Europe;"EDP Sciences";"2010-2023";"Multidisciplinary (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Sciences (miscellaneous) (Q3); Neuropsychology and Physiological Psychology (Q4); Orthopedics and Sports Medicine (Q4); Physiology (Q4); Physiology (medical) (Q4); Psychology (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Multidisciplinary; Psychology; Social Sciences"
5625;21100812857;"Series on Biomechanics";journal;"13132458";0,206;Q4;7;44;113;1208;52;113;0,48;27,45;40,20;0;3;Bulgaria;Eastern Europe;"Bulgarska Akademiya na Naukite";"2015-2023";"Biomedical Engineering (Q4); Biophysics (Q4); Biotechnology (Q4); Orthopedics and Sports Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine"
5626;14446;"Technology and Disability";journal;"1878643X, 10554181";0,206;Q3;38;19;76;922;74;76;0,90;48,53;46,97;0;5;Netherlands;Western Europe;"IOS Press BV";"1992-2023";"Rehabilitation (Q3); Biomedical Engineering (Q4); Health Informatics (Q4)";"Engineering; Medicine"
5627;22937;"Zhongguo Zhongyao Zazhi";journal;"10015302";0,206;Q3;36;692;2319;28329;2069;2319;0,87;40,94;45,64;0;201;China;Asiatic Region;"Zhongguo Zhongyi Yanjiuyuan";"1989-2023";"Complementary and Alternative Medicine (Q3); Pharmacology (medical) (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
5628;14202;"Archives Italiennes de Biologie";journal;"00039829";0,205;Q4;43;0;33;0;30;33;0,96;0,00;0,00;0;0;Italy;Western Europe;"Pisa University Press";"1952, 1962-2022";"Cell Biology (Q4); Medicine (miscellaneous) (Q4); Physiology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5629;21101078839;"Gynecology and Obstetrics Clinical Medicine";journal;"26671646, 20970587";0,205;Q3;4;45;84;1496;57;76;0,68;33,24;52,27;1;26;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Obstetrics and Gynecology (Q3); Reproductive Medicine (Q3)";"Medicine"
5630;21101064808;"Human Pathology Reports";journal;"2772736X";0,205;Q4;8;40;331;843;114;327;0,39;21,08;34,22;0;21;United States;Northern America;"Elsevier Inc.";"2021-2023";"Pathology and Forensic Medicine (Q4)";"Medicine"
5631;21100784273;"Journal of Intellectual Disability - Diagnosis and Treatment";journal;"22922598";0,205;Q4;10;21;199;728;107;197;0,46;34,67;42,62;0;10;Canada;Northern America;"Lifescience Global";"2013-2023";"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Health (social science) (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Neuroscience; Psychology; Social Sciences"
5632;23904;"Kardiologiya";journal;"24125660, 00229040";0,205;Q4;22;129;505;3162;430;504;0,97;24,51;48,00;0;35;Russian Federation;Eastern Europe;"Limited Liability Company KlinMed Consulting";"1961-2023";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
5633;21100934559;"Kesmas";journal;"24600601, 19077505";0,205;Q4;9;60;164;1824;171;162;0,76;30,40;53,21;0;39;Indonesia;Asiatic Region;"Universitas Indonesia, Faculty of public health";"2016-2023";"Epidemiology (Q4); Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
5634;28765;"Neonatal network : NN";journal;"15392880, 07300832";0,205;Q3;43;57;186;1013;99;165;0,45;17,77;89,58;0;15;United States;Northern America;"Springer Publishing Company";"1985-2023";"Critical Care and Intensive Care Medicine (Q3); Critical Care Nursing (Q3); Pediatrics, Perinatology and Child Health (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
5635;21100231618;"Oral Surgery";journal;"17522471, 1752248X";0,205;Q3;16;77;260;1683;122;204;0,28;21,86;43,96;0;18;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2023";"Oral Surgery (Q3); Surgery (Q3)";"Dentistry; Medicine"
5636;28002;"Revista de Nutricao";journal;"14155273";0,205;Q4;42;40;152;1600;110;152;0,49;40,00;74,48;0;25;Brazil;Latin America;"Revista de Nutricao";"2000-2023";"Medicine (miscellaneous) (Q4); Nutrition and Dietetics (Q4)";"Medicine; Nursing"
5637;19200157024;"Revista Latinoamericana de Psicopatologia Fundamental";journal;"19840381, 14154714";0,205;Q4;9;29;156;1048;22;130;0,10;36,14;46,81;0;4;Brazil;Latin America;"Associacao Universitaria de Pesquisa em Psicopatologia Fundamental";"2008-2022";"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
